# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 32332326048
#
# Overhead       Samples  Command      Shared Object         Symbol                                     
# ........  ............  ...........  ....................  ...........................................
#
     0.06%             2  python       python3.10            [.] x_add.lto_priv.0
     0.06%             2  python       python3.10            [.] bytes_subscript.lto_priv.0
     0.06%             2  python       python3.10            [.] _PyObject_GC_New
     0.06%             2  python       python3.10            [.] super_init.lto_priv.0
     0.06%             2  python       python3.10            [.] _PyObject_LookupSpecial
     0.06%             2  python       python3.10            [.] descr_traverse.lto_priv.0
     0.06%             2  python       python3.10            [.] convertsimple.lto_priv.0
     0.06%             2  python       python3.10            [.] mro_internal.lto_priv.0
     0.06%             2  python       python3.10            [.] PyBytes_FromStringAndSize
     0.05%             2  python       python3.10            [.] method_vectorcall_O.lto_priv.0
     0.05%             2  python       python3.10            [.] subtype_dealloc.lto_priv.0
     0.04%             1  python       python3.10            [.] PyNumber_Negative
     0.04%             1  python       python3.10            [.] PyList_New
     0.04%             1  python       python3.10            [.] _PyType_Lookup
     0.04%             1  python       python3.10            [.] long_or.lto_priv.0
     0.04%             1  python       python3.10            [.] sequence_repeat.lto_priv.0
     0.04%             1  python       python3.10            [.] PyNumber_InPlaceAdd
     0.04%             1  python       python3.10            [.] allocate_from_new_pool.lto_priv.0
     0.04%             1  python       python3.10            [.] PyNumber_Xor
     0.04%             1  python       python3.10            [.] PyErr_Occurred
     0.04%             1  python       libcrypto.so.3        [.] 0x00000000001ac9e8
     0.04%             1  uname        ld-linux-x86-64.so.2  [.] _dl_lookup_symbol_x
     0.04%             1  python       libcrypto.so.3        [.] 0x00000000001c2881
     0.04%             1  python       libcrypto.so.3        [.] 0x00000000001e1b56
     0.04%             1  python       libcrypto.so.3        [.] OPENSSL_LH_doall_arg
     0.04%             1  python       libcrypto.so.3        [.] 0x00000000000e4ffd
     0.04%             1  python       libc.so.6             [.] sem_init@@GLIBC_2.34
     0.04%             1  python       python3.10            [.] _PyModule_ClearDict
     0.04%             1  python       libc.so.6             [.] cfree@GLIBC_2.2.5
     0.04%             1  python       libcrypto.so.3        [.] 0x00000000000f7bdf
     0.04%             1  python       libcrypto.so.3        [.] 0x00000000000d03e8
     0.04%             1  python       libcrypto.so.3        [.] 0x00000000000d00d0
     0.04%             1  python       libcrypto.so.3        [.] 0x00000000001ac986
     0.04%             1  python       libcrypto.so.3        [.] 0x00000000001ac99d
     0.04%             1  python       libcrypto.so.3        [.] ERR_new
     0.04%             1  python       libcrypto.so.3        [.] 0x00000000001ad521
     0.04%             1  python       python3.10            [.] cell_dealloc.lto_priv.0
     0.04%             1  python       python3.10            [.] PyLong_FromString
     0.04%             1  python       python3.10            [.] _imp_acquire_lock.lto_priv.0
     0.04%             1  python       python3.10            [.] callmethod.lto_priv.0
     0.04%             1  python       libcrypto.so.3        [.] 0x00000000001c2877
     0.04%             1  python       python3.10            [.] wrap_setattr.lto_priv.0
     0.04%             1  python       python3.10            [.] unicode_new.lto_priv.0
     0.04%             1  python3      python3.10            [.] lookdict_unicode_nodummy.lto_priv.0
     0.04%             1  python       python3.10            [.] resize_compact.lto_priv.0
     0.04%             1  python3      python3.10            [.] _PyObject_GetMethod
     0.04%             1  python       python3.10            [.] factor_rule
     0.04%             1  python       libcrypto.so.3        [.] CRYPTO_THREAD_unlock
     0.04%             1  python3      python3.10            [.] code_dealloc.lto_priv.0
     0.04%             1  python       python3.10            [.] tuplehash.lto_priv.0
     0.04%             1  lsb_release  libc.so.6             [.] 0x0000000000028390
     0.04%             1  python       python3.10            [.] _PyBytes_Resize
