# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:u'
# Event count (approx.): 44838591919
#
# Overhead       Samples  Command      Shared Object                          Symbol                                        
# ........  ............  ...........  .....................................  ..............................................
#
     0.06%             2  python       _json.cpython-310-x86_64-linux-gnu.so  [.] 0x0000000000003564
     0.06%             2  python       python3.10                             [.] _PyEval_BuiltinsFromGlobals
     0.06%             2  python       _json.cpython-310-x86_64-linux-gnu.so  [.] 0x0000000000003470
     0.06%             2  python       libc.so.6                              [.] realloc
     0.06%             2  python       python3.10                             [.] PyMem_Realloc
     0.05%             2  python       python3.10                             [.] _PyTuple_MaybeUntrack
     0.05%             2  python       libc.so.6                              [.] cfree@GLIBC_2.2.5
     0.05%             2  python       python3.10                             [.] tb_dealloc
     0.05%             2  python       python3.10                             [.] _Py_bytes_lower
     0.05%             2  python       python3.10                             [.] solid_base
     0.05%             2  python       python3.10                             [.] unicode_hash
     0.05%             2  python       python3.10                             [.] r_string
     0.05%             2  python       python3.10                             [.] method_vectorcall_VARARGS
     0.05%             2  python       python3.10                             [.] object_dealloc
     0.05%             2  python3      python3.10                             [.] _PyUnicode_FromId
     0.05%             2  python       python3.10                             [.] PyCode_NewWithPosOnlyArgs
     0.05%             2  python       python3.10                             [.] PyObject_GetIter
     0.05%             2  python3      python3.10                             [.] _PyObject_Malloc
     0.05%             2  python       python3.10                             [.] _io_open
     0.05%             2  python       python3.10                             [.] findchar
     0.05%             2  python       python3.10                             [.] PyTraceBack_Here
     0.05%             2  python       python3.10                             [.] list_sort_impl
     0.05%             2  python       python3.10                             [.] unicode_endswith
     0.05%             2  python       python3.10                             [.] x_add
     0.05%             2  python       python3.10                             [.] _loop1_93_rule
     0.05%             2  python       python3.10                             [.] build_string
     0.04%             2  lsb_release  python3.10                             [.] PyDict_SetDefault
     0.04%             2  python       python3.10                             [.] tupleiter_next
     0.04%             2  python       libc.so.6                              [.] __memcmp_avx2_movbe_rtm
     0.04%             2  python3      python3.10                             [.] visit_reachable
     0.03%             1  python       libcrypto.so.3                         [.] 0x00000000001ac986
     0.03%             1  python       python3.10                             [.] dictresize
     0.03%             1  python       python3.10                             [.] Py_LeaveRecursiveCall
     0.03%             1  python       _json.cpython-310-x86_64-linux-gnu.so  [.] 0x0000000000003620
     0.03%             1  python       python3.10                             [.] subtype_dealloc
     0.03%             1  python       python3.10                             [.] PySequence_Fast
     0.03%             1  python       python3.10                             [.] func_descr_get
     0.03%             1  python       _json.cpython-310-x86_64-linux-gnu.so  [.] 0x00000000000036d4
     0.03%             1  python       libc.so.6                              [.] __mmap
